cnpj,cgf,razaoSocial,regime,cadastro_dominio
41550666000281,67790011,MA DE ALMEIDA COMERCIO DE ALIMENTOS IDEAL LTDA,NORMAL,769
44322282000119,70347280,ML DE SOUSA FARMACIAS LTDA - ME,MICROEMPRESA,714
17608115000247,67391869,COMERCIAL PRAIA E MAR LTDA,NORMAL,715
08571105000102,62054317,HENRIQUE SOUSA CAETANO LTDA,MICROEMPRESA,277
20207994000129,63327562,L W INDUSTRIA E COMERCIO DE GONDOLAS E CHECK OUTS LTDA,NORMAL,602
02908742000498,70265976,NUTRICAO COMERCIO E SERVICOS LTDA,NORMAL,333
10421036000100,70019142,JFF SERVICOS ADMINISTRATIVOS LTDA,NORMAL,681
08874086000193,62103881,CURA CERTA COMERCIO VAREJISTA DE PRODUTOS FARMACEUTIVOS LTDA,NORMAL,50
17389943000150,65025032,COMERCIAL DE ALIMENTOS NETO LTDA,NORMAL,680
00973755000172,69570612,COMERCIAL ESTIVAS DE ALIMENTOS LTDA,NORMAL,165
31649378000144,67824080,NARCICIO A MENDES,NORMAL,815
23343540000173,64701611,BRN COMERCIO DE CALCADOS LTDA,NORMAL,488
00973755000172,69570612,COMERCIAL ESTIVAS DE ALIMENTOS LTDA,NORMAL,165
31649378000144,67824080,NARCICIO A MENDES,NORMAL,815
13258237000119,65552202,NIPAN MASSAS CONGELADAS LTDA,NORMAL,9
17389943000150,65025032,COMERCIAL DE ALIMENTOS NETO LTDA,NORMAL,680
28429030000137,66796091,A L S MENDES MOVEIS,NORMAL,36
39710449000189,62400037,A SUZILANE DA SILVA LTDA,NORMAL,425
07121465000140,61788627,I M PEREIRA,NORMAL,811
31649378000144,67824080,NARCICIO A MENDES,NORMAL,815
05646748000341,63584646,UCHOA COMERCIO DE GAS LTDA,NORMAL,292
05646748000341,63584646,UCHOA COMERCIO DE GAS LTDA,NORMAL,292
20951181000149,63483297,ADE COMERCIO DE CALCADOS LTDA,NORMAL,482
20373830000171,63350661,OBA FESTAS LTDA,NORMAL,445
33384059000180,69359202,J. L. E. DE OLIVEIRA SR PANDINHA,MICROEMPRESA,204
05646748000260,62164333,UCHOA COMERCIO DE GAS LTDA,NORMAL,290
09156818000172,62162969,MAGILA HELLEN PEREIRA ME,NORMAL,761
